,budget,top_genre,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,cast,crew,all_genres
11,200000000,Adventure,10764,"killing, undercover, secret agent, british secret service",en,Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",107.92881100000001,Eon Productions,"United Kingdom, United States of America",10/30/2008,586090727,106.0,"English, Español, Italiano, Français, Deutsch",Released,"For love, for hate, for justice, for revenge.",Quantum of Solace,6.1,2965,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench, Giancarlo Giannini, Gemma Arterton, Jeffrey Wright, David Harbour, Jesper Christensen, Anatole Taubman","Paul Haggis, Dennis Gassner, Ian Fleming, Louise Frogley, David Arnold, Richard Pearson, Debbie McWilliams, Barbara Broccoli, Anthony Waye, Marc Forster","Adventure, Action, Thriller, Crime"
12,200000000,Adventure,58,"witch, fortune teller, bondage, exotic island, monster, captain, card game, east india trading company, compass, ship",en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.84737900000002,"Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions","Jamaica, United States of America, Bahamas, Dominica",6/20/2006,1065659812,151.0,"English, Türkçe, ελληνικά, 普通话",Released,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,"Johnny Depp, Orlando Bloom, Keira Knightley, Stellan Skarsgård, Bill Nighy, Jack Davenport, Kevin McNally, Jonathan Pryce, Lee Arenberg, Mackenzie Crook","Dariusz Wolski, Gore Verbinski, Jerry Bruckheimer, Ted Elliott, Ted Elliott, Terry Rossio, Terry Rossio, Stephen E. Rivkin, Craig Wood, Hans Zimmer","Adventure, Fantasy, Action"
13,255000000,Action,57201,"texas, horse, survivor, texas ranger, partner, outlaw, escape, lawyer, train, lone ranger",en,The Lone Ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",49.046956,"Walt Disney Pictures, Jerry Bruckheimer Films, Infinitum Nihil, Silver Bullet Productions (II), Blind Wink Productions, Classic Media",United States of America,7/3/2013,89289910,149.0,English,Released,Never Take Off the Mask,The Lone Ranger,5.9,2311,"Johnny Depp, Armie Hammer, William Fichtner, Helena Bonham Carter, James Badge Dale, Tom Wilkinson, Ruth Wilson, Barry Pepper, James Frain, Mason Cook","Gore Verbinski, Gore Verbinski, Jerry Bruckheimer, Ted Elliott, Ted Elliott, Terry Rossio, Terry Rossio, Johnny Depp, Craig Wood, Hans Zimmer","Action, Adventure, Western"
14,225000000,Action,49521,"saving the world, dc comics, superhero, based on comic book, superhuman, alien invasion, reboot, super powers, dc extended universe",en,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",99.398009,"Legendary Pictures, Warner Bros., DC Entertainment, Syncopy, Cruel and Unusual Films","United Kingdom, United States of America",6/12/2013,662845518,143.0,English,Released,You will believe that a man can fly.,Man of Steel,6.5,6359,"Henry Cavill, Amy Adams, Michael Shannon, Kevin Costner, Diane Lane, Russell Crowe, Laurence Fishburne, Antje Traue, Christopher Meloni, Jadin Gould","Hans Zimmer, Charles Roven, Lloyd Phillips, Christopher Nolan, Christopher Nolan, Emma Thomas, Alex McDowell, David S. Goyer, David S. Goyer, Lora Kennedy","Action, Adventure, Fantasy, Science Fiction"
15,225000000,Adventure,2454,"based on novel, fictional place, brother sister relationship, lion, human being, wretch, leap in time, matter of life and death, faith, uncle",en,The Chronicles of Narnia: Prince Caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",53.978602,"Walt Disney, Walden Media, Stillking Films, Ozumi Films, Propeler, Silverbell Films, Revolution Sun Studios","Czech Republic, Poland, Slovenia, United States of America",5/15/2008,419651413,150.0,English,Released,Hope has a new face.,The Chronicles of Narnia: Prince Caspian,6.3,1630,"Ben Barnes, William Moseley, Anna Popplewell, Skandar Keynes, Georgie Henley, Sergio Castellitto, Alicia Borrachero, Peter Dinklage, Warwick Davis, Vincent Grass","Liz Mullane, Gail Stevens, David Minkowski, Matthew Stillman, Mark Johnson, Andrew Adamson, Andrew Adamson, Andrew Adamson, C. S. Lewis, Philip Steuer","Adventure, Family, Fantasy"
16,220000000,Science Fiction,24428,"new york, shield, marvel comic, superhero, based on comic book, alien invasion, superhero team, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe",en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",144.448633,"Paramount Pictures, Marvel Studios",United States of America,4/25/2012,1519557910,143.0,English,Released,Some assembly required.,The Avengers,7.4,11776,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Tom Hiddleston, Clark Gregg, Cobie Smulders, Stellan Skarsgård","Alan Silvestri, Christopher Boyes, Christopher Boyes, Seamus McGarvey, Sarah Finn, Victor J. Zolfo, Colin Strause, Greg Strause, Stan Lee, Stan Lee","Science Fiction, Action, Adventure"
17,380000000,Adventure,1865,"sea, captain, mutiny, sword, prime minister, sailing, silver, ship, duke, mermaid",en,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",135.413856,"Walt Disney Pictures, Jerry Bruckheimer Films, Moving Picture Company (MPC)",United States of America,5/14/2011,1045713802,136.0,"English, Español",Released,Live Forever Or Die Trying.,Pirates of the Caribbean: On Stranger Tides,6.4,4948,"Johnny Depp, Penélope Cruz, Ian McShane, Kevin McNally, Geoffrey Rush, Sam Claflin, Astrid Bergès-Frisbey, Stephen Graham, Greg Ellis, Damian O'Hare","Dariusz Wolski, Jerry Bruckheimer, Ted Elliott, Terry Rossio, Terry Rossio, Hans Zimmer, Mike Stenson, Chad Oman, Christopher Boyes, Penny Rose","Adventure, Action, Fantasy"
18,225000000,Action,41154,"time travel, time machine, alien, fictional government agency, seeing the future, changing history",en,Men in Black 3,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",52.035179,"Amblin Entertainment, Media Magik Entertainment, Imagenation Abu Dhabi FZ, Hemisphere Media Capital, Parkes/MacDonald Productions",United States of America,5/23/2012,624026776,106.0,English,Released,They are back... in time.,Men in Black 3,6.2,4160,"Will Smith, Tommy Lee Jones, Josh Brolin, Michael Stuhlbarg, Emma Thompson, Jemaine Clement, Nicole Scherzinger, Alice Eve, Bill Hader, Michael Chernus","Steven Spielberg, Danny Elfman, Ellen Chenoweth, Walter F. Parkes, Bo Welch, Barry Sonnenfeld, Bill Pope, Wayne Wahrman, Laurie MacDonald, Lowell Cunningham","Action, Comedy, Science Fiction"
19,250000000,Action,122917,"corruption, elves, dwarves, orcs, middle-earth (tolkien), hobbit, dragon, battle, unlikely friendship, epic battle",en,The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",120.96574299999999,"WingNut Films, New Line Cinema, Warner Bros. Pictures, 3Foot7, Metro-Goldwyn-Mayer (MGM)","New Zealand, United States of America",12/10/2014,956019788,144.0,English,Released,Witness the defining chapter of the Middle-Earth saga,The Hobbit: The Battle of the Five Armies,7.1,4760,"Martin Freeman, Ian McKellen, Richard Armitage, Ken Stott, Graham McTavish, William Kircher, James Nesbitt, Stephen Hunter, Dean O'Gorman, Aidan Turner","Howard Shore, Christopher Boyes, Peter Jackson, Peter Jackson, Peter Jackson, J.R.R. Tolkien, Fran Walsh, Fran Walsh, Philippa Boyens, Philippa Boyens","Action, Adventure, Fantasy"
20,215000000,Action,1930,"loss of father, vigilante, serum, marvel comic, scientific experiment, spider bite, masked vigilante, reboot, super powers, genetic engineering",en,The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance â€“ leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",89.866276,"Columbia Pictures, Laura Ziskin Productions, Marvel Entertainment",United States of America,6/27/2012,752215857,136.0,English,Released,The untold story begins.,The Amazing Spider-Man,6.5,6586,"Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary, Campbell Scott, Irrfan Khan, Martin Sheen, Sally Field, Max Charles, Chris Zylka","Francine Maisler, John Schwartzman, Pietro Scalia, James Horner, Kym Barrett, Stan Lee, Stan Lee, Steve Ditko, Laura Ziskin, Avi Arad","Action, Adventure, Fantasy"
21,200000000,Action,20662,"robin hood, archer, knight, sherwood forest, bow and arrow, middle ages, medieval, king of england",en,Robin Hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",37.668301,"Imagine Entertainment, Universal Pictures, Scott Free Productions, Relativity Media","United Kingdom, United States of America",5/12/2010,310669540,140.0,"English, ภาษาไทย",Released,"Rise and rise again, until lambs become lions.",Robin Hood,6.2,1398,"Russell Crowe, Cate Blanchett, Max von Sydow, William Hurt, Mark Strong, Oscar Isaac, Danny Huston, Eileen Atkins, Mark Addy, Matthew Macfadyen","Brian Grazer, Jina Jay, Ridley Scott, Ridley Scott, Russell Crowe, John Mathieson, Janty Yates, Arthur Max, Pietro Scalia, Brian Helgeland","Action, Adventure"
22,250000000,Adventure,57158,"elves, dwarves, orcs, hobbit, dragon, wizard, sword and sorcery",en,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",94.370564,"WingNut Films, New Line Cinema, Warner Bros. Pictures, Metro-Goldwyn-Mayer (MGM)","New Zealand, United States of America",12/11/2013,958400000,161.0,English,Released,Beyond darkness... beyond desolation... lies the greatest danger of all.,The Hobbit: The Desolation of Smaug,7.6,4524,"Martin Freeman, Ian McKellen, Richard Armitage, Ken Stott, Graham McTavish, William Kircher, James Nesbitt, Stephen Hunter, Dean O'Gorman, Aidan Turner","Howard Shore, Peter Jackson, Peter Jackson, Peter Jackson, J.R.R. Tolkien, Fran Walsh, Fran Walsh, Philippa Boyens, Andrew Lesnie, John Howe","Adventure, Fantasy"
23,180000000,Adventure,2268,"england, compass, experiment, lordship, uncle, polar bear, orphan, animal, based on young adult novel",en,The Golden Compass,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",42.990906,"New Line Cinema, Ingenious Film Partners, Depth of Field, Scholastic Productions","United Kingdom, United States of America",12/4/2007,372234864,113.0,"Íslenska, English, Pусский, Français",Released,There are worlds beyond our own - the compass will show the way.,The Golden Compass,5.8,1303,"Dakota Blue Richards, Nicole Kidman, Daniel Craig, Sam Elliott, Eva Green, Freddie Highmore, Ian McKellen, Ben Walker, Ian McShane, Kristin Scott Thomas","Anna Pinnock, Mark Ordesky, Michael Lynne, Dennis Gassner, Alexandre Desplat, Chris Weitz, Chris Weitz, Paul Weitz, Robert Shaye, Anne V. Coates","Adventure, Fantasy"
24,207000000,Adventure,254,"film business, screenplay, show business, film making, film producer, exotic island, monster, indigenous, ship, dinosaur",en,King Kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",61.226009999999995,"WingNut Films, Universal Pictures, Big Primate Pictures, MFPV Film","New Zealand, United States of America, Germany",12/14/2005,550000000,187.0,English,Released,The eighth wonder of the world.,King Kong,6.6,2337,"Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann, Colin Hanks, Andy Serkis, Evan Parke, Jamie Bell, Lobo Chan, John Sumner","James Newton Howard, Peter Jackson, Peter Jackson, Peter Jackson, Fran Walsh, Fran Walsh, Philippa Boyens, Andrew Lesnie, Grant Major, Joe Bleakley","Adventure, Drama, Action"
25,200000000,Drama,597,"shipwreck, iceberg, ship, panic, titanic, ocean liner, epic, rich woman - poor man, love, disaster",en,Titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancÃ©, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",100.025899,"Paramount Pictures, Twentieth Century Fox Film Corporation, Lightstorm Entertainment",United States of America,11/18/1997,1845034188,194.0,"English, Français, Deutsch, svenska, Italiano, Pусский",Released,Nothing on Earth could come between them.,Titanic,7.5,7562,"Kate Winslet, Leonardo DiCaprio, Frances Fisher, Billy Zane, Kathy Bates, Gloria Stuart, Bill Paxton, Bernard Hill, David Warner, Victor Garber","Mali Finn, James Horner, James Cameron, James Cameron, James Cameron, James Cameron, Peter Lamont, Richard A. Harris, Conrad Buff IV, Russell Carpenter","Drama, Romance, Thriller"
26,250000000,Adventure,271110,"civil war, war, marvel comic, sequel, superhero, based on comic book, imax, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe",en,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",198.37239499999998,"Studio Babelsberg, Marvel Studios, Walt Disney Studios Motion Pictures, Vita-Ray Dutch Productions (III), Deluxe Digital Studios",United States of America,4/27/2016,1153304495,147.0,"Română, English, Deutsch, Pусский",Released,Divided We Fall,Captain America: Civil War,7.1,7241,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie, Don Cheadle, Jeremy Renner, Chadwick Boseman, Paul Bettany, Elizabeth Olsen","Ronald R. Reiss, Tom Johnson, Sarah Finn, Christopher Markus, Stephen McFeely, Stan Lee, Kevin Feige, Shannon Mills, Shannon Mills, Juan Peralta","Adventure, Action, Science Fiction"
27,209000000,Thriller,44833,"fight, u.s. navy, mind reading, hong kong, soccer, scientist, fictional war, naval, armada, battleship",en,Battleship,"When mankind beams a radio signal into space, a reply comes from â€˜Planet Gâ€™, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancÃ©e's father, Admiral Shane, expect of him.",64.928382,"Universal Pictures, Hasbro, Bluegrass Films, Film 44",United States of America,4/11/2012,303025485,131.0,"English, ภาษาไทย",Released,The Battle for Earth Begins at Sea,Battleship,5.5,2114,"Taylor Kitsch, Alexander Skarsgård, Rihanna, Brooklyn Decker, Tadanobu Asano, Liam Neeson, Gregory D. Gadson, Hamish Linklater, Jesse Plemons, John Tui","Paul Rubell, Jeff Dawn, Duncan Henderson, Neil Spisak, Dan Yale, William Ladd Skinner, Louise Mingenbach, Mitzi Haralson, Jim Passon, Tobias A. Schliessler","Thriller, Action, Adventure, Science Fiction"
28,150000000,Action,135397,"monster, dna, tyrannosaurus rex, velociraptor, island, sequel, suspense, disaster, escape, dinosaur",en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",418.708552,"Universal Studios, Amblin Entertainment, Legendary Pictures, Fuji Television Network, Dentsu",United States of America,6/9/2015,1513528810,124.0,English,Released,The park is open.,Jurassic World,6.5,8662,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio, Nick Robinson, Ty Simpkins, Jake Johnson, Omar Sy, BD Wong, Judy Greer","Steven Spielberg, John Papsidera, Frank Marshall, John Schwartzman, Christopher Boyes, Gary Rydstrom, Ronald R. Reiss, Martin Klebba, April Ferry, Michael Crichton","Action, Adventure, Science Fiction, Thriller"
